timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249602.7768414,18.014747065,8.456247904,1.843500838,-72,-74,-74,-78,-74,-68,-84,-74,-64,-77,-81,-74
1581249604.146521,17.90443628,8.44164093,1.81551349,-74,-72,-77,-77,-68,-72,-74,-63,-60,-77,-79,-73
1581249605.9676938,17.878760096,8.446719711,1.862,-74,-71,-75,-79,-69,-71,-78,-63,-63,-81,-79,-73
1581249607.3255498,17.860124122,8.437539002,1.841663124,-76,-70,-79,-77,-68,-72,-73,-68,-62,-78,-74,-77
1581249608.6971524,17.640921739,8.432,1.85900301,-71,-73,-75,-71,-70,-68,-81,-70,-61,-76,-72,-75
1581249610.0681555,17.331706115,8.470062975,1.833073471,-71,-72,-76,-78,-73,-76,-78,-60,-61,-71,-72,-76
1581249611.4307516,16.984948208,8.461259711,1.822480578,-70,-71,-81,-78,-74,-73,-80,-67,-59,-75,-80,-77
1581249613.243637,16.522946141,8.457689516,1.843995104,-71,-72,-74,-74,-69,-71,-75,-64,-59,-69,-71,-88
1581249614.607989,16.077640605,8.478294271,1.85418231,-72,-72,-75,-76,-67,-69,-82,-74,-59,-73,-73,-71
1581249615.975628,15.635492757,8.67586919,1.837972541,-71,-72,-74,-80,-74,-70,-78,-60,-51,-69,-71,-73
1581249617.8000183,15.089386382,8.348370467,1.987577659,-70,-71,-74,-78,-70,-69,-78,-66,-51,-72,-80,-71
1581249619.157601,14.653135385,8.377513538,1.891216154,-71,-71,-79,-75,-70,-71,-81,-64,-58,-65,-71,-74
1581249620.5246463,14.263036204,8.256899707,1.87356546,-68,-66,-68,-69,-66,-71,-75,-67,-59,-68,-74,-69
1581249622.345586,13.667361501,8.470024077,1.766710846,-66,-66,-71,-72,-69,-70,-74,-65,-68,-74,-70,-68
1581249623.7046175,13.211565138,8.527086955,1.762739136,-73,-70,-75,-73,-70,-74,-78,-65,-68,-74,-75,-73
1581249625.073566,12.761055484,8.526853405,1.730853405,-71,-75,-68,-74,-69,-74,-73,-63,-60,-75,-67,-71
1581249626.8900833,12.362291853,8.59318012,1.78481988,-67,-70,-68,-73,-71,-70,-73,-68,-59,-77,-74,-71
1581249628.259036,11.968862226,8.578591835,1.803647959,-64,-73,-72,-70,-66,-68,-78,-67,-64,-73,-70,-67
1581249629.165054,11.676919084,8.59721416,1.809795954,-63,-76,-73,-80,-71,-71,-71,-68,-65,-71,-74,-71
1581249630.5285394,11.236388086,8.576572847,1.815058278,-64,-73,-71,-70,-78,-68,-73,-68,-61,-81,-69,-71
1581249631.4390433,10.938537798,8.575213445,1.813786555,-67,-79,-73,-71,-71,-68,-72,-67,-69,-71,-73,-67
1581249632.803033,10.528628448,8.55774947,1.822562633,-62,-72,-82,-67,-67,-64,-73,-62,-65,-72,-73,-71
1581249634.1678803,9.940247385,8.583841579,1.828316841,-64,-72,-74,-74,-77,-65,-81,-74,-65,-76,-69,-70
1581249635.0881262,9.490542237,8.526009537,1.821019073,-59,-70,-69,-74,-69,-70,-78,-74,-60,-77,-70,-65
1581249636.9017367,8.820289713,8.546690636,1.836267977,-58,-70,-67,-76,-73,-68,-69,-70,-68,-77,-69,-68
1581249637.82023,8.478181735,8.53510671,1.837778658,-61,-72,-70,-69,-73,-69,-74,-70,-67,-82,-68,-66
1581249638.7345805,8.143143894,8.522064912,1.837610531,-65,-72,-66,-64,-72,-68,-72,-66,-62,-86,-74,-70
1581249640.1040325,7.606493416,8.527387279,1.837888596,-60,-75,-73,-66,-76,-68,-73,-68,-64,-74,-69,-61
1581249641.4617748,7.114428971,8.534,1.83488449,-64,-72,-71,-70,-69,-70,-70,-69,-66,-75,-73,-65
1581249642.8210585,6.632932071,8.532356686,1.794070059,-61,-78,-74,-70,-78,-66,-74,-70,-66,-78,-69,-68
1581249644.1914048,6.276319133,8.683,1.86478556,-63,-78,-68,-69,-74,-73,-75,-68,-69,-74,-66,-63
1581249645.5579846,5.805464232,8.656527861,1.867763931,-60,-78,-70,-72,-70,-71,-70,-69,-66,-80,-65,-60
1581249646.468547,5.46577626,8.668218124,1.878260625,-67,-77,-63,-71,-72,-68,-67,-73,-71,-78,-72,-73
1581249647.8330674,4.897268722,8.732790787,1.859,-62,-76,-69,-62,-76,-73,-65,-79,-68,-76,-63,-65
1581249649.198357,4.380869383,8.571139046,1.862886938,-66,-82,-78,-65,-76,-71,-75,-74,-65,-81,-66,-65
1581249650.5663142,3.814575726,8.641337307,1.850301544,-65,-79,-70,-66,-79,-73,-68,-76,-69,-79,-64,-62
1581249652.389356,3.056725467,8.562498999,1.837498999,-65,-81,-70,-64,-74,-72,-67,-80,-68,-79,-60,-65
1581249654.203516,2.352837172,8.544618216,1.828,-72,-79,-64,-65,-72,-74,-68,-78,-69,-83,-62,-67
1581249655.1155927,1.999233754,8.541251477,1.841937131,-70,-83,-66,-65,-74,-75,-66,-75,-62,-82,-61,-71
1581249656.9441397,1.32022547,8.536189979,1.84,-70,-79,-69,-63,-74,-69,-66,-70,-73,-78,-59,-71
1581249658.3031209,0.833937502,8.479305852,1.857877659,-71,-80,-74,-65,-71,-72,-69,-67,-72,-82,-59,-70
1581249659.6705656,0.354176839,8.448104447,1.846,-73,-83,-70,-67,-78,-76,-68,-79,-68,-84,-64,-70
